"";"ID";"longitude";"latitude";"Date";"Captured Mosquitoes"
"1";"1.PG";9,832;53,468;"2021-05-09";0
"2";"1.PG";9,832;53,468;"2021-05-10";4
"3";"1.PG";9,832;53,468;"2021-05-11";0
"4";"1.PG";9,832;53,468;"2021-05-12";1
"5";"1.PG";9,832;53,468;"2021-05-13";0
"6";"1.PG";9,832;53,468;"2021-05-14";0
"7";"1.PG";9,832;53,468;"2021-05-15";0
"8";"1.PG";9,832;53,468;"2021-05-16";0
"9";"1.PG";9,832;53,468;"2021-05-17";0,142857142857143
"10";"1.PG";9,832;53,468;"2021-05-24";3
"11";"1.PG";9,832;53,468;"2021-05-25";7
"12";"1.PG";9,832;53,468;"2021-05-26";0
"13";"1.PG";9,832;53,468;"2021-05-27";0
"14";"1.PG";9,832;53,468;"2021-05-28";0
"15";"1.PG";9,832;53,468;"2021-05-29";2
"16";"1.PG";9,832;53,468;"2021-05-30";1
"17";"1.PG";9,832;53,468;"2021-06-04";0
"18";"1.PG";9,832;53,468;"2021-06-10";3
"19";"1.PG";9,832;53,468;"2021-06-11";4
"20";"1.PG";9,832;53,468;"2021-06-14";1
"21";"1.PG";9,832;53,468;"2021-06-17";2
"22";"1.PG";9,832;53,468;"2021-06-19";12,5
"23";"1.PG";9,832;53,468;"2021-06-23";6
"24";"1.PG";9,832;53,468;"2021-06-27";27,7142857142857
"25";"1.PG";9,832;53,468;"2021-07-04";19
"26";"1.PG";9,832;53,468;"2021-07-05";36
"27";"1.PG";9,832;53,468;"2021-07-06";3
"28";"1.PG";9,832;53,468;"2021-07-07";39
"29";"1.PG";9,832;53,468;"2021-07-08";3
"30";"1.PG";9,832;53,468;"2021-07-09";18
"31";"1.PG";9,832;53,468;"2021-07-11";23
"32";"1.PG";9,832;53,468;"2021-07-12";38
"33";"1.PG";9,832;53,468;"2021-07-13";28
"34";"1.PG";9,832;53,468;"2021-07-14";54
"35";"1.PG";9,832;53,468;"2021-07-15";29
"36";"1.PG";9,832;53,468;"2021-07-16";29
"37";"1.PG";9,832;53,468;"2021-07-17";21,5
"38";"1.PG";9,832;53,468;"2021-07-21";32
"39";"1.PG";9,832;53,468;"2021-07-22";54
"40";"1.PG";9,832;53,468;"2021-07-23";7
"41";"1.PG";9,832;53,468;"2021-07-24";27
"42";"1.PG";9,832;53,468;"2021-07-25";116
"43";"1.PG";9,832;53,468;"2021-07-26";91
"44";"1.PG";9,832;53,468;"2021-07-27";70
"45";"1.PG";9,832;53,468;"2021-07-28";22
"46";"1.PG";9,832;53,468;"2021-07-30";58
"47";"1.PG";9,832;53,468;"2021-07-31";25
"48";"1.PG";9,832;53,468;"2021-08-02";25
"49";"1.PG";9,832;53,468;"2021-08-03";31
"50";"1.PG";9,832;53,468;"2021-08-04";23
"51";"1.PG";9,832;53,468;"2021-08-05";11
"52";"1.PG";9,832;53,468;"2021-08-06";25
"53";"1.PG";9,832;53,468;"2021-08-07";16
"54";"1.PG";9,832;53,468;"2021-08-08";9
"55";"1.PG";9,832;53,468;"2021-08-09";15
"56";"1.PG";9,832;53,468;"2021-08-10";8
"57";"1.PG";9,832;53,468;"2021-08-11";41
"58";"1.PG";9,832;53,468;"2021-08-12";19
"59";"1.PG";9,832;53,468;"2021-08-13";31
"60";"1.PG";9,832;53,468;"2021-08-14";26
"61";"1.PG";9,832;53,468;"2021-08-16";20
"62";"1.PG";9,832;53,468;"2021-08-17";1
"63";"1.PG";9,832;53,468;"2021-08-18";7
"64";"1.PG";9,832;53,468;"2021-08-19";7
"65";"1.PG";9,832;53,468;"2021-08-20";6
"66";"1.PG";9,832;53,468;"2021-08-21";8
"67";"1.PG";9,832;53,468;"2021-08-22";21
"68";"1.PG";9,832;53,468;"2021-08-23";7
"69";"1.PG";9,832;53,468;"2021-08-24";17
"70";"1.PG";9,832;53,468;"2021-08-25";16
"71";"1.PG";9,832;53,468;"2021-08-26";2
"72";"1.PG";9,832;53,468;"2021-08-27";6
"73";"1.PG";9,832;53,468;"2021-08-28";7
"74";"1.PG";9,832;53,468;"2021-08-29";4
"75";"1.PG";9,832;53,468;"2021-08-30";8
"76";"1.PG";9,832;53,468;"2021-08-31";9
"77";"1.PG";9,832;53,468;"2021-09-01";8
"78";"1.PG";9,832;53,468;"2021-09-02";8
"79";"1.PG";9,832;53,468;"2021-09-03";13
"80";"1.PG";9,832;53,468;"2021-09-04";14
"81";"1.PG";9,832;53,468;"2021-09-05";12
